,LineText,Intersection_Words,Intersection_count
1368,and life no longer than thy love will stay ,love|life,2
1375,since that my life on thy revolt doth lie ,life|lie,2
1387,in many s looks  the false heart s history,history|heart,2
1399,unmoved  cold  and to temptation slow ,cold|temptation,2
1413,doth spot the beauty of thy budding name ,spot|name,2
1424,    the hardest knife ill us d doth lose his edge ,knife|edge,2
1427,some say thy grace is youth and gentle sport ,youth|sport,2
1458,hath put a spirit of youth in every thing ,spirit|youth,2
1469,    as with your shadow i with these did play ,shadow|play,2
1478,one blushing shame  another white despair ,despair|white,2
1489,darkening thy power to lend base subjects light ,light|power,2
1493,and gives thy pen both skill and argument ,skill|argument,2
1494,rise  resty muse  my love s sweet face survey ,love|rise|survey,3
1498,    give my love fame faster than time wastes life ,love|life|time,3
1503,both truth and beauty on my love depends ,love|truth,2
1520,our love was new  and then but in the spring ,love|spring,2
1561,let not my love be call d idolatry ,love|call,2
1565,kind is my love to day  to morrow kind ,love|day,2
1581,of hand  of foot  of lip  of eye  of brow ,eye|hand|foot,3
1593,can yet the lease of my true love control ,love|control,2
1600,my love looks fresh  and death to me subscribes ,death|love,2
1606,what s in the brain  that ink may character ,character|brain,2
1619,    where time and outward form would show it dead ,form|time,2
1624,as from my soul which in thy breast doth lie ,breast|lie,2
1625,that is my home of love  if i have rang d ,love|home,2
1634,    save thou  my rose  in it thou art my all ,art|rose,2
1640,most true it is  that i have look d on truth,look|truth,2
1642,these blenches gave my heart another youth ,heart|youth,2
1646,on newer proof  to try an older friend ,proof|try|friend,3
1659,whilst  like a willing patient  i will drink ,drink|patient,2
1666,your love and pity doth the impression fill ,impression|love,2
1673,that my steel d sense or changes right or wrong ,sense|steel,2
1681,since i left you  mine eye is in my mind ,mind|eye,2
1685,for it no form delivers to the heart,form|heart,2
1686,of bird  of flower  or shape which it doth latch ,flower|shape,2
1691,the mountain or the sea  the day or night ,night|day|sea|mountain,4
1734,love s not time s fool  though rosy lips and cheeks,love|time,2
1743,forgot upon your dearest love to call ,love|call,2
1744,whereto all bonds do tie me day by day ,tie|day,2
1764,thus policy in love  to anticipate,love|policy,2
1816,thy gift  thy tables  are within my brain,gift|brain,2
1820,or  at the least  so long as brain and heart,heart|brain,2
1825,nor need i tallies thy dear love to score ,love|score,2
1831,no  time  thou shalt not boast that i do change ,change|time,2
1846,if my dear love were but the child of state ,love|child,2
1848,as subject to time s love or to time s hate ,love|subject|time,3
1858,    to this i witness call the fools of time ,call|time,2
1871,which is not mix d with seconds  knows no art ,art|mix,2
1876,o thou  my lovely boy  who in thy power,boy|power,2
1882,she keeps thee to this purpose  that her skill,skill|purpose,2
1895,for since each hand hath put on nature s power ,nature|hand|power,3
1906,how oft when thou  my music  music play st ,play|music,2
1926,past reason hunted  and no sooner had ,reason|past,2
1927,past reason hated  as a swallow d bait ,reason|past,2
1945,that music hath a far more pleasing sound ,sound|music,2
1956,thy face hath not the power to make love groan ,love|power,2
1970,and truly not the morning sun of heaven,sun|morning,2
1989,prison my heart in thy steel bosom s ward ,heart|steel,2
1990,but then my friend s heart let my poor heart bail ,heart|friend,2
2019,the sea  all water  yet receives rain still ,water|sea|rain,3
2038,    make but my name thy love  and love that still ,love|name,2
2049,why should my heart think that a several plot ,plot|heart,2
2050,which my heart knows the wide world s common place ,heart|world,2
2056,when my love swears that she is made of truth ,love|truth,2
2066,o  love s best habit is in seeming trust ,love|habit,2
2074,use power with power  and slay me not by art ,art|power,2
2076,dear heart  forbear to glance thine eye aside ,eye|heart,2
2086,be wise as thou art cruel  do not press,art|press,2
2089,the manner of my pity wanting pain ,manner|pain,2
2093,no news but health from their physicians know ,health|news,2
2101,in faith i do not love thee with mine eyes ,love|faith,2
2110,dissuade one foolish heart from serving thee ,heart|serving,2
2113,    only my plague thus far i count my gain ,gain|count,2
2126,root pity in thy heart  that  when it grows ,root|heart,2
2136,cries to catch her whose busy care is bent,care|catch,2
2142,and play the mother s part  kiss me  be kind ,play|mother,2
2149,the worser spirit a woman colour d ill ,woman|spirit,2
2161,those lips that love s own hand did make ,love|hand,2
2183,eat up thy charge  is this thy body s end ,charge|body,2
2188,    so shall thou feed on death  that feeds on men ,death|feed,2
2195,my reason  the physician to my love ,love|reason,2
2198,desire is death  which physic did except ,death|desire,2
2199,past cure i am  now reason is past care ,reason|past|care,3
2204,    who art as black as hell  as dark as night ,art|night,2
2206,o me  what eyes hath love put in my head ,head|love,2
2213,love s eye is not so true as all men s  no ,love|eye,2
2214,how can it  o  how can love s eye be true ,love|eye,2
2225,who hateth thee that i do call my friend ,call|friend,2
2233,    but  love  hate on  for now i know thy mind ,love|mind,2
2242,there is such strength and warrantise of skill ,skill|strength,2
2251,love is too young to know what conscience is ,love|conscience,2
2252,yet who knows not conscience is born of love ,love|conscience,2
2258,triumph in love  flesh stays no farther reason ,love|reason,2
2262,to stand in thy affairs  fall by thy side ,fall|stand,2
2263,    no want of conscience hold it that i call,call|conscience,2
2264,    her  love   for whose dear love i rise and fall ,love|rise|fall,3
2267,but thou art twice forsworn  to me love swearing ,art|love,2
2268,in act thy bed vow broke  and new faith torn ,bed|faith,2
2275,oaths of thy love  thy truth  thy constancy ,love|truth,2
2279,    to swear against the truth so foul a lie ,truth|lie,2
2283,and his love kindling fire did quickly steep,love|fire,2
2284,in a cold valley fountain of that ground ,fountain|cold|ground|valley,4
2285,which borrow d from this holy fire of love ,love|fire,2
2289,but at my mistress  eye love s brand new fired ,love|eye,2
2290,the boy for trial needs would touch my breast ,touch|breast|trial|boy,4
2305,which from love s fire took heat perpetual ,love|fire,2
2309,    love s fire heats water  water cools not love ,love|water|fire,3
