,ID,A1,A2,A3,A4,A5,Score,Sentence_ID,Head,Tail,Head_tags,Tail_tags,Noun_pair,Head_noun_lemmatised,Tail_noun_lemmatised,Common_adjectives
13,3739__particular_24__listed_19,2,0,0,0,0,0.153615485052,3739,listed,particular,{'VERB'},"{'ADJ', 'NOUN'}",False,,,
14,3635__namely_27__linking_29,2,1,0,0,0,0.294456348517,3635,namely,linking,{'ADV'},"{'NOUN', 'VERB'}",False,,,
15,7013__mounted_13__scenes_9,2,2,2,1,1,0.890230707633,7013,mounted,scenes,{'VERB'},{'NOUN'},False,,,
16,3444__objective_3__central_2,2,1,1,1,1,0.746438616219,3444,central,objective,{'ADJ'},"{'ADJ', 'NOUN'}",False,,,
17,167__solo_12__scale_13,3,2,2,1,1,0.978885059166,167,solo,scale,"{'NOUN', 'VERB'}","{'X', 'NOUN', 'VERB'}",True,solo,scale,set()
18,1597__expected_20__entitled_35,3,2,0,0,0,0.397329621855,1597,expected,entitled,{'VERB'},{'VERB'},False,,,
19,4560__tools_17__solution_20,1,1,1,0,0,0.443350009658,4560,tools,solution,{'NOUN'},{'NOUN'},True,tool,solution,set()
20,8460__paid_7__kept_2,1,1,0,0,0,0.311760235363,8460,kept,paid,{'VERB'},{'VERB'},False,,,
21,190__held_5__positions_2,1,1,1,1,0,0.504554630774,190,positions,held,{'NOUN'},{'VERB'},False,,,
22,7127__dips_2__preparing_15,3,0,0,0,0,0.174491495532,7127,preparing,dips,{'VERB'},{'NOUN'},False,,,
23,838__industry_17__image_19,2,1,1,1,1,0.660718485287,838,industry,image,{'NOUN'},{'NOUN'},True,industry,image,{'strong'}
24,4673__watched_20__round_26,2,2,0,0,0,0.294189519,4673,watched,round,{'VERB'},"{'ADJ', 'VERB', 'ADV', 'ADP', 'NOUN'}",False,,,
25,11133__stuff_19__chart_18,3,2,2,1,1,0.94054254418,11133,chart,stuff,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,chart,stuff,set()
26,6391__science_2__image_6,2,1,1,0,0,0.370467441431,6391,science,image,{'NOUN'},{'NOUN'},True,science,image,"{'sweet', 'bright', 'strong', 'soft', 'weak'}"
27,4569__potential_7__role_8,3,2,1,1,0,0.775984931547,4569,potential,role,"{'ADJ', 'NOUN'}",{'NOUN'},True,potential,role,{'clear'}
28,1906__capacity_25__pyramid_2,3,1,0,0,0,0.328916735623,1906,pyramid,capacity,"{'NOUN', 'VERB'}",{'NOUN'},True,pyramid,capacity,set()
29,4554__assigned_28__base_5,2,1,0,0,0,0.35917361748,4554,assigned,base,{'VERB'},"{'ADJ', 'NOUN', 'VERB'}",False,,,
30,6995__meeting_2__round_12,2,2,1,0,0,0.398064894108,6995,round,meeting,"{'ADJ', 'VERB', 'ADV', 'ADP', 'NOUN'}","{'NOUN', 'VERB'}",True,round,meeting,set()
31,2128__changed_3__subject_5,1,1,1,1,1,0.632544225242,2128,changed,subject,{'VERB'},"{'ADJ', 'NOUN', 'VERB'}",False,,,
32,3516__labour_29__flight_24,2,2,2,1,0,0.718684077608,3516,flight,labour,{'NOUN'},{'NOUN'},True,flight,labour,set()
33,3743__extent_9__feature_3,3,1,1,0,0,0.572847900583,3743,feature,extent,"{'NOUN', 'VERB'}",{'NOUN'},True,feature,extent,set()
34,5218__space_57__invaders_53,3,2,2,1,0,0.786632058497,5218,invaders,space,{'NOUN'},"{'NOUN', 'VERB'}",True,invader,space,set()
35,2650__principle_38__reduce_47,1,1,0,0,0,0.253644859971,2650,principle,reduce,"{'ADJ', 'NOUN'}",{'VERB'},False,,,
36,4527__data_4__level_25,2,0,0,0,0,0.219438269862,4527,level,data,"{'ADJ', 'NOUN', 'VERB'}",{'NOUN'},True,level,data,set()
37,1768__nosedives_49__cut_44,3,2,0,0,0,0.295683759382,1768,cut,nosedives,"{'NOUN', 'VERB'}",set(),False,,,
38,9955__arrives_33__getting_28,1,1,0,0,0,0.395236287587,9955,getting,arrives,"{'NOUN', 'VERB'}",{'VERB'},False,,,
39,3193__objectives_4__meet_2,1,1,1,1,1,0.641717981073,3193,meet,objectives,"{'NOUN', 'VERB'}",{'NOUN'},True,meet,objective,set()
40,3451__reconstruction_2__rise_20,1,1,0,0,0,0.375139665042,3451,reconstruction,rise,{'NOUN'},"{'NOUN', 'VERB'}",True,reconstruction,rise,set()
41,2752__valley_21__form_18,1,1,1,1,0,0.531665020385,2752,form,valley,"{'NOUN', 'VERB'}",{'NOUN'},True,form,valley,set()
42,148__line_12__drawings_13,1,1,1,1,1,0.639191860351,148,line,drawings,"{'NOUN', 'VERB'}",{'NOUN'},True,line,drawing,set()
43,6422__establishing_34__spent_32,1,1,1,0,0,0.463548546958,6422,spent,establishing,{'VERB'},"{'NOUN', 'VERB'}",False,,,
44,5189__country_50__territory_64,1,1,1,0,0,0.369248292463,5189,country,territory,{'NOUN'},{'NOUN'},True,country,territory,set()
45,2900__imagine_26__hard_24,1,1,1,0,0,0.417295419088,2900,hard,imagine,"{'ADV', 'ADJ', 'NOUN'}",{'VERB'},False,,,
46,4542__framework_26__models_19,1,1,0,0,0,0.288712117341,4542,models,framework,{'NOUN'},{'NOUN'},True,model,framework,set()
47,6198__competition_39__stages_44,1,1,0,0,0,0.253644859971,6198,competition,stages,{'NOUN'},{'NOUN'},True,competition,stage,{'bitter'}
48,3637__argument_7__relied_4,1,1,1,1,0,0.504554630774,3637,relied,argument,{'VERB'},{'NOUN'},False,,,
49,7034__provided_3__advances_6,2,1,1,0,0,0.407857499647,7034,provided,advances,{'VERB'},"{'NOUN', 'VERB'}",False,,,
50,3734__potential_19__fields_21,1,1,1,1,0,0.5087778781,3734,potential,fields,"{'ADJ', 'NOUN'}","{'NOUN', 'VERB'}",True,potential,field,{'clear'}
51,3455__time_8__collapsing_13,2,1,1,0,0,0.409078086091,3455,collapsing,time,{'VERB'},"{'NOUN', 'VERB'}",False,,,
52,7065__speech_32__shown_25,2,1,0,0,0,0.324769415988,7065,shown,speech,{'VERB'},{'NOUN'},False,,,
53,1456__based_33__block_32,1,1,1,1,0,0.521914874054,1456,block,based,"{'NOUN', 'VERB'}",{'VERB'},False,,,
54,4603__hen_17__mother_16,3,3,2,1,1,1.15640566524,4603,mother,hen,"{'NOUN', 'VERB'}",{'NOUN'},True,mother,hen,set()
55,6237__checklists_13__situation_19,2,1,0,0,0,0.289647859904,6237,checklists,situation,set(),{'NOUN'},False,,,
56,9588__lard_13__feeling_6,3,3,0,0,0,0.513145646528,9588,lard,feeling,{'NOUN'},"{'NOUN', 'VERB'}",True,lard,feeling,set()
57,3201__devoted_8__resources_10,2,1,1,1,0,0.669104009241,3201,resources,devoted,{'NOUN'},{'VERB'},False,,,
58,3733__provisions_6__exert_12,0,0,0,0,0,0.153615485052,3733,exert,provisions,{'VERB'},{'NOUN'},False,,,
59,8533__wrung_10__washing_9,3,2,2,2,0,1.32700561866,8533,wrung,washing,set(),"{'NOUN', 'VERB'}",False,,,
60,814__filled_15__imagery_19,3,2,1,1,0,0.755447735276,814,filled,imagery,{'VERB'},{'NOUN'},False,,,
61,3718__characteristics_16__inherited_18,3,1,1,1,0,0.679489270806,3718,characteristics,inherited,{'NOUN'},{'VERB'},False,,,
62,6613__history_42__reading_40,2,1,1,1,0,0.679489270806,6613,reading,history,"{'NOUN', 'VERB'}",{'NOUN'},True,reading,history,"{'brilliant', 'bright', 'strong'}"
63,873__items_4__combine_3,1,1,1,1,0,0.444210622665,873,combine,items,"{'NOUN', 'VERB'}",{'NOUN'},True,combine,item,set()
64,2517__crime_47__form_45,1,1,1,0,0,0.378663300407,2517,form,crime,"{'NOUN', 'VERB'}",{'NOUN'},True,form,crime,set()
65,657__waiting_30__cut_33,2,1,1,0,0,0.459284002183,657,waiting,cut,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,waiting,cut,set()
66,1340__mere_22__decoration_23,3,3,1,1,0,1.00959439281,1340,mere,decoration,{'ADJ'},{'NOUN'},False,,,
67,1892__independence_13__form_10,3,2,2,2,1,1.46764838585,1892,form,independence,"{'NOUN', 'VERB'}",{'NOUN'},True,form,independence,{'dim'}
68,3592__deprivation_21__pushed_27,2,2,0,0,0,0.425127313505,3592,deprivation,pushed,{'NOUN'},{'VERB'},False,,,
69,3040__Silence_5__denounces_3,1,0,0,0,0,0.166912757746,3040,denounces,Silence,{'VERB'},set(),False,,,
70,2782__posters_51__stare_47,3,3,0,0,0,0.407355378943,2782,stare,posters,"{'NOUN', 'VERB'}",{'NOUN'},True,stare,poster,set()
71,1554__touched_15__base_16,3,2,1,1,1,0.719243561434,1554,touched,base,{'VERB'},"{'ADJ', 'NOUN', 'VERB'}",False,,,
72,1339__historical_35__operating_29,1,1,1,0,0,0.378663300407,1339,operating,historical,{'VERB'},{'ADJ'},False,,,
73,3518__pervasive_44__sense_45,3,3,3,3,2,2.08654199526,3518,pervasive,sense,{'ADJ'},"{'NOUN', 'VERB'}",False,,,
74,6297__forced_24__consider_26,2,2,1,1,1,0.722605348766,6297,forced,consider,{'VERB'},{'VERB'},False,,,
75,3566__statement_15__set_7,2,1,1,0,0,0.38252384674,3566,statement,set,{'NOUN'},"{'NOUN', 'VERB'}",True,statement,set,set()
76,6820__philosophers_2__consider_9,2,1,1,0,0,0.41180720609,6820,philosophers,consider,{'NOUN'},{'VERB'},False,,,
77,7100__time_4__represent_2,2,2,2,2,0,0.994167662343,7100,represent,time,{'VERB'},"{'NOUN', 'VERB'}",False,,,
78,810__poet_17__float_6,3,0,0,0,0,0.20101079205,810,poet,float,{'NOUN'},{'VERB'},False,,,
79,1795__sympathy_16__rose_14,3,2,2,1,1,1.09570127496,1795,rose,sympathy,"{'ADJ', 'NOUN', 'VERB'}",{'NOUN'},True,rose,sympathy,set()
80,1623__toured_5__ignored_11,3,1,0,0,0,0.301505355478,1623,ignored,toured,{'VERB'},{'VERB'},False,,,
81,6831__assumption_21__false_20,2,1,1,1,0,0.50469029006,6831,false,assumption,"{'ADV', 'ADJ'}",{'NOUN'},False,,,
82,3663__housing_21__poor_20,2,2,1,1,1,0.752053611669,3663,poor,housing,{'ADJ'},"{'NOUN', 'VERB'}",False,,,
83,16146__cider_11__sold_12,2,2,1,0,0,0.596975755257,16146,cider,sold,{'NOUN'},{'VERB'},False,,,
84,12085__estimate_20__passes_22,2,1,0,0,0,0.304654494374,12085,estimate,passes,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,estimate,pass,set()
85,6263__action_10__guide_8,2,2,1,1,1,0.752053611669,6263,action,guide,{'NOUN'},"{'NOUN', 'VERB'}",True,action,guide,"{'brilliant', 'rough'}"
86,5136__task_24__tearing_19,3,2,2,1,0,0.606449371475,5136,tearing,task,{'VERB'},{'NOUN'},False,,,
87,6219__term_22__include_24,1,1,1,0,0,0.387213291284,6219,term,include,"{'NOUN', 'VERB'}",{'VERB'},False,,,
88,4735__soon_13__moving_5,2,1,1,0,0,0.395801094337,4735,soon,moving,{'ADV'},"{'ADJ', 'NOUN', 'VERB'}",False,,,
89,104__reports_4__arrangement_7,1,0,0,0,0,0.161833212282,104,reports,arrangement,"{'NOUN', 'VERB'}",{'NOUN'},True,report,arrangement,set()
90,4779__feared_15__growing_23,2,2,0,0,0,0.31786213746,4779,feared,growing,{'VERB'},"{'NOUN', 'VERB'}",False,,,
91,7032__parliament_10__advances_8,1,1,1,0,0,0.392593240199,7032,parliament,advances,{'NOUN'},"{'NOUN', 'VERB'}",True,parliament,advance,{'strong'}
92,667__litres_8__spilled_6,2,2,1,0,0,0.434010577505,667,spilled,litres,{'VERB'},set(),False,,,
93,3215__behaviour_42__standards_40,1,1,0,0,0,0.406336371358,3215,standards,behaviour,{'NOUN'},{'NOUN'},True,standard,behaviour,set()
94,6374__minority_5__reached_10,2,2,1,1,0,0.679489270806,6374,reached,minority,{'VERB'},{'NOUN'},False,,,
95,6383__choice_3__subject_2,1,1,0,0,0,0.326809561647,6383,subject,choice,"{'ADJ', 'NOUN', 'VERB'}","{'ADJ', 'NOUN'}",True,subject,choice,{'bright'}
96,2831__little_6__odd_7,2,1,1,1,0,0.657229248716,2831,little,odd,"{'ADV', 'ADJ', 'NOUN'}",{'ADJ'},False,,,
97,3492__resources_7__injection_5,3,3,2,2,2,1.39617019159,3492,injection,resources,{'NOUN'},{'NOUN'},True,injection,resource,set()
98,6681__totalization_33__proceed_22,3,3,1,0,0,0.478305799681,6681,proceed,totalization,{'VERB'},set(),False,,,
99,2568__manslaughter_27__reduced_25,2,1,1,1,0,0.549885363012,2568,reduced,manslaughter,{'VERB'},{'NOUN'},False,,,
100,1498__report_4__makes_20,1,1,0,0,0,0.356650531448,1498,makes,report,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,make,report,set()
101,4493__perform_16__inventory_20,2,1,1,0,0,0.416266590556,4493,perform,inventory,{'VERB'},"{'NOUN', 'VERB'}",False,,,
102,3642__Taking_1__role_7,1,0,0,0,0,0.168917320243,3642,Taking,role,set(),{'NOUN'},False,,,
103,6187__variable_7__susceptible_11,2,2,1,0,0,0.342626431704,6187,susceptible,variable,{'ADJ'},"{'ADJ', 'NOUN'}",False,,,
104,3676__ears_34__found_35,1,1,0,0,0,0.299853919769,3676,ears,found,{'NOUN'},{'VERB'},False,,,
105,4866__fringe_19__darkly_13,3,0,0,0,0,0.168107382258,4866,darkly,fringe,{'ADV'},{'NOUN'},False,,,
106,4499__departments_11__planning_10,1,1,0,0,0,0.291980818818,4499,planning,departments,"{'NOUN', 'VERB'}",{'NOUN'},True,planning,department,set()
107,11129__start_19__load_25,1,0,0,0,0,0.185479867625,11129,start,load,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,start,load,set()
108,6267__routine_8__tell_11,2,1,1,1,0,0.662852827543,6267,tell,routine,{'VERB'},"{'ADJ', 'NOUN'}",False,,,
109,2554__None_1__strong_7,1,1,0,0,0,0.239714920179,2554,None,strong,set(),"{'ADV', 'ADJ', 'NOUN'}",False,,,
110,6191__expertise_27__takes_23,3,1,1,1,1,0.752053611669,6191,takes,expertise,{'VERB'},{'NOUN'},False,,,
111,2143__sounding_3__determined_7,3,1,1,0,0,0.346463204142,2143,sounding,determined,"{'ADJ', 'VERB'}",{'VERB'},False,,,
112,1895__violence_14__natural_11,2,2,2,0,0,0.624749019541,1895,natural,violence,{'ADJ'},{'NOUN'},False,,,
113,6485__nursery_21__ran_17,2,2,2,1,0,0.600286947869,6485,ran,nursery,{'VERB'},{'NOUN'},False,,,
114,2614__draws_40__line_42,2,2,1,1,1,0.75706915,2614,draws,line,{'VERB'},"{'NOUN', 'VERB'}",False,,,
115,7117__marble_18__floor_21,3,2,1,1,1,0.847864367396,7117,marble,floor,{'NOUN'},{'NOUN'},True,marble,floor,"{'solid', 'cold'}"
116,6888__recognise_9__possessing_14,1,0,0,0,0,0.166055434504,6888,possessing,recognise,{'VERB'},set(),False,,,
117,2071__boys_5__lean_6,3,1,1,1,0,0.739568902392,2071,boys,lean,{'NOUN'},"{'ADJ', 'VERB'}",False,,,
118,994__space_8__short_6,2,1,1,1,0,0.743808892786,994,short,space,"{'ADV', 'ADJ', 'NOUN'}","{'NOUN', 'VERB'}",True,short,space,set()
119,91__carrying_15__bound_20,3,0,0,0,0,0.153615485052,91,carrying,bound,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,carrying,bound,set()
120,6172__reduce_7__form_12,1,1,1,1,0,0.536778487023,6172,form,reduce,"{'NOUN', 'VERB'}",{'VERB'},False,,,
121,2557__penalty_16__calculations_21,2,1,1,1,0,0.627733779924,2557,penalty,calculations,{'NOUN'},{'NOUN'},True,penalty,calculation,{'cold'}
122,4567__based_8__system_11,1,1,1,1,0,0.412478354931,4567,system,based,{'NOUN'},{'VERB'},False,,,
123,1713__knowledge_7__deep_6,2,2,1,1,0,0.705083099341,1713,deep,knowledge,"{'ADV', 'ADJ', 'NOUN'}",{'NOUN'},True,deep,knowledge,set()
124,6287__orientates_10__introduction_8,3,2,1,1,0,0.752053611669,6287,orientates,introduction,set(),{'NOUN'},False,,,
125,1949__subject_9__tussle_13,2,2,1,1,0,0.657759040122,1949,tussle,subject,{'NOUN'},"{'ADJ', 'NOUN', 'VERB'}",True,tussle,subject,set()
126,1757__bid_15__joint_13,2,1,1,1,0,0.605643977372,1757,joint,bid,"{'ADJ', 'NOUN'}","{'NOUN', 'VERB'}",True,joint,bid,set()
127,1291__style_8__piece_5,1,1,1,0,0,0.375934180409,1291,piece,style,"{'X', 'NOUN', 'VERB'}",{'NOUN'},True,piece,style,set()
128,1083__picked_2__web_10,2,2,0,0,0,0.305137000154,1083,web,picked,{'NOUN'},{'VERB'},False,,,
129,1797__value_15__release_13,2,1,1,1,1,0.63916045069,1797,release,value,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,release,value,set()
130,6796__relation_42__valued_40,1,1,1,1,0,0.504554630774,6796,valued,relation,{'VERB'},{'NOUN'},False,,,
131,471__gifts_8__hints_4,2,2,1,1,0,0.679489270806,471,hints,gifts,"{'NOUN', 'VERB'}",{'NOUN'},True,hint,gift,set()
132,2097__life_48__refugee_45,2,2,2,1,0,0.707907825799,2097,refugee,life,{'NOUN'},{'NOUN'},True,refugee,life,set()
133,7064__asserted_6__quarters_3,3,1,0,0,0,0.387636741644,7064,quarters,asserted,{'NOUN'},{'VERB'},False,,,
134,6720__bestowed_5__cause_9,3,2,2,2,1,1.37836181425,6720,bestowed,cause,{'VERB'},"{'NOUN', 'VERB'}",False,,,
135,4893__smile_2__spread_3,3,2,2,1,1,0.967448203496,4893,smile,spread,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,smile,spread,{'sweet'}
136,2546__system_26__called_23,2,1,1,0,0,0.385252966738,2546,called,system,{'VERB'},{'NOUN'},False,,,
137,6460__sustained_15__clinging_18,3,2,2,1,0,0.892687837537,6460,sustained,clinging,{'VERB'},{'VERB'},False,,,
138,1455__display_15__steps_7,2,1,0,0,0,0.335852122535,1455,display,steps,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,display,step,set()
139,1309__failure_8__stemmed_5,3,1,1,0,0,0.595172046688,1309,stemmed,failure,{'VERB'},{'NOUN'},False,,,
140,7035__set_9__fought_5,2,0,0,0,0,0.153615485052,7035,fought,set,{'VERB'},"{'NOUN', 'VERB'}",False,,,
141,2989__prey_9__alert_5,2,1,1,0,0,0.409078086091,2989,alert,prey,"{'ADJ', 'NOUN', 'VERB'}",{'NOUN'},True,alert,prey,set()
142,2767__variety_6__enormous_11,3,2,1,1,0,0.923675936036,2767,enormous,variety,{'ADJ'},{'NOUN'},False,,,
143,8369__suddenly_12__raised_11,2,1,1,1,0,0.531665020385,8369,raised,suddenly,{'VERB'},{'ADV'},False,,,
144,479__candidates_9__assess_6,1,1,0,0,0,0.356650531448,479,assess,candidates,{'VERB'},{'NOUN'},False,,,
145,3505__market_11__liberation_8,2,2,2,1,0,0.712036442499,3505,market,liberation,{'NOUN'},{'NOUN'},True,market,liberation,set()
146,3744__demands_8__heavy_7,3,2,1,1,0,0.803470970663,3744,heavy,demands,{'ADJ'},"{'NOUN', 'VERB'}",False,,,
147,199__status_17__abuse_15,3,2,1,1,0,0.705046606219,199,abuse,status,"{'NOUN', 'VERB'}",{'NOUN'},True,abuse,status,set()
148,3474__contract_4__enjoy_8,1,0,0,0,0,0.157837707274,3474,contract,enjoy,"{'NOUN', 'VERB'}",{'VERB'},False,,,
149,3750__draws_18__role_22,2,2,1,0,0,0.468187812777,3750,draws,role,{'VERB'},{'NOUN'},False,,,
150,2869__Paths_1__allowing_6,2,1,1,0,0,0.455237879785,2869,Paths,allowing,set(),{'VERB'},False,,,
151,2770__north_3__clumps_13,3,2,2,0,0,0.564284936685,2770,clumps,north,{'NOUN'},"{'ADJ', 'NOUN'}",True,clump,north,set()
152,4573__nodes_33__network_32,3,1,1,1,0,0.722273659753,4573,network,nodes,{'NOUN'},{'NOUN'},True,network,node,set()
153,1303__fascination_16__grew_13,2,2,1,1,0,0.682883394413,1303,grew,fascination,{'VERB'},{'NOUN'},False,,,
154,3730__fields_27__application_26,2,1,0,0,0,0.301043965765,3730,application,fields,{'NOUN'},"{'NOUN', 'VERB'}",True,application,field,{'smooth'}
155,6848__childhood_20__training_15,2,2,2,1,0,0.61000931778,6848,training,childhood,"{'NOUN', 'VERB'}",{'NOUN'},True,training,childhood,{'rough'}
156,491__keeper_51__stretch_49,3,2,2,0,0,0.792176164099,491,stretch,keeper,"{'NOUN', 'VERB'}",{'NOUN'},True,stretch,keeper,set()
157,3096__association_7__led_5,1,1,1,0,0,0.38252384674,3096,led,association,{'VERB'},{'NOUN'},False,,,
158,11558__round_12__bend_15,3,2,1,1,0,0.584272667942,11558,round,bend,"{'ADJ', 'VERB', 'ADV', 'ADP', 'NOUN'}","{'NOUN', 'VERB'}",True,round,bend,set()
159,4520__potential_3__sources_4,1,1,1,1,1,0.632622058917,4520,potential,sources,"{'ADJ', 'NOUN'}",{'NOUN'},True,potential,source,set()
160,6641__social_20__ensembles_21,3,2,1,1,0,0.689647330854,6641,social,ensembles,"{'ADJ', 'NOUN'}",{'NOUN'},True,social,ensemble,set()
161,6838__philosophers_21__drawn_15,3,1,1,0,0,0.428921463893,6838,drawn,philosophers,{'VERB'},{'NOUN'},False,,,
162,3506__local_49__structure_51,2,2,1,1,1,0.633280530301,3506,local,structure,"{'ADJ', 'NOUN'}","{'NOUN', 'VERB'}",True,local,structure,set()
163,4779__cut-throat_4__world_5,3,3,2,2,2,1.68539360753,4779,cut-throat,world,set(),{'NOUN'},False,,,
164,859__switch_22__shadow_27,3,2,0,0,0,0.440528701333,859,switch,shadow,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,switch,shadow,{'dim'}
165,11236__moment_27__getting_22,1,0,0,0,0,0.224576720232,11236,getting,moment,"{'NOUN', 'VERB'}",{'NOUN'},True,getting,moment,set()
166,1865__engaging_11__regard_8,3,2,2,1,1,0.786449716518,1865,engaging,regard,"{'ADJ', 'VERB'}","{'NOUN', 'VERB'}",False,,,
167,2999__Society_23__secure_16,2,0,0,0,0,0.189702089847,2999,secure,Society,"{'ADJ', 'VERB'}",set(),False,,,
168,7048__constituencies_17__ready_11,2,1,1,0,0,0.353004501249,7048,ready,constituencies,"{'ADJ', 'VERB'}",{'NOUN'},False,,,
169,6263__requires_6__context_3,2,1,1,1,0,0.497964964442,6263,context,requires,{'NOUN'},{'VERB'},False,,,
170,594__free_51__plant_46,2,2,1,0,0,0.525151804891,594,plant,free,"{'NOUN', 'VERB'}","{'ADV', 'ADJ', 'VERB'}",False,,,
171,8262__curb_3__theatrical_5,3,3,2,1,1,1.33899953269,8262,curb,theatrical,"{'NOUN', 'VERB'}",{'ADJ'},False,,,
172,4542__flood_17__models_19,3,2,0,0,0,0.360053866665,4542,flood,models,"{'NOUN', 'VERB'}",{'NOUN'},True,flood,model,set()
173,5297__framing_17__gold_15,3,1,0,0,0,0.417111840067,5297,gold,framing,"{'ADJ', 'NOUN'}","{'NOUN', 'VERB'}",True,gold,framing,set()
174,1337__definitions_35__adoption_17,3,2,0,0,0,0.297422727585,1337,adoption,definitions,{'NOUN'},{'NOUN'},True,adoption,definition,set()
175,143__documentaries_30__materials_27,3,1,1,1,0,0.708285913125,143,materials,documentaries,{'NOUN'},{'NOUN'},True,material,documentary,set()
176,14114__goes_15__looking_7,2,1,0,0,0,0.311330950769,14114,goes,looking,{'VERB'},"{'ADJ', 'NOUN', 'VERB'}",False,,,
177,4899__gloom_15__add_11,2,2,1,1,1,0.657573013545,4899,add,gloom,{'VERB'},{'NOUN'},False,,,
178,9003__cat_9__swing_7,3,3,3,1,0,1.46957317534,9003,swing,cat,"{'NOUN', 'VERB'}",{'NOUN'},True,swing,cat,set()
179,11776__name_7__middle_6,2,1,1,1,0,0.749890184838,11776,middle,name,"{'ADJ', 'NOUN'}","{'NOUN', 'VERB'}",True,middle,name,set()
180,1242__records_6__fusion_12,2,2,0,0,0,0.318980149882,1242,fusion,records,{'NOUN'},"{'NOUN', 'VERB'}",True,fusion,record,set()
181,4493__linked_3__closely_2,3,1,1,1,0,0.836358013859,4493,closely,linked,{'ADV'},{'VERB'},False,,,
182,3021__told_7__pressure_2,2,1,0,0,0,0.263592717237,3021,pressure,told,"{'NOUN', 'VERB'}",{'VERB'},False,,,
183,6490__carers_37__background_34,1,1,1,0,0,0.490199202264,6490,background,carers,{'NOUN'},set(),False,,,
184,2863__drink_17__free_16,1,1,1,1,1,0.645726315772,2863,free,drink,"{'ADV', 'ADJ', 'VERB'}","{'NOUN', 'VERB'}",False,,,
185,14021__minute_16__break_18,2,1,1,1,0,0.5913586281,14021,minute,break,"{'ADJ', 'NOUN'}","{'NOUN', 'VERB'}",True,minute,break,set()
186,4483__quantitative_7__assessments_9,3,1,1,0,0,0.539719671735,4483,quantitative,assessments,{'ADJ'},{'NOUN'},False,,,
187,2108__interspersed_61__descents_64,3,2,2,2,1,0.874733329538,2108,interspersed,descents,{'VERB'},set(),False,,,
188,8598__method_9__bang_7,3,3,3,1,0,1.4404011061,8598,bang,method,"{'NOUN', 'PRT', 'VERB'}",{'NOUN'},True,bang,method,set()
189,3198__drink_40__commit_41,3,2,2,1,1,0.699602509751,3198,drink,commit,"{'NOUN', 'VERB'}","{'ADJ', 'VERB'}",False,,,
190,2887__replace_7__tried_5,2,1,0,0,0,0.402014526571,2887,tried,replace,{'VERB'},{'VERB'},False,,,
191,3636__riots_23__responses_19,1,1,1,0,0,0.490199202264,3636,responses,riots,{'NOUN'},{'NOUN'},True,response,riot,{'heavy'}
